Model
"Neither, Favor, Neither, Non-Hateful, N/A, N/A, N/A"
"Against, Neither, Neither, Hateful, Racist, 2, Implicit"
"Against, Against, Neither, Hateful, General, 2, Implicit"
"Favor, Against, Neither, Non-Hateful, N/A, N/A, N/A"
"Against, Against, Neither, Hateful, General, 2, Explicit"
"Favor, Neither, Neither, Non-Hateful, N/A, N/A, N/A"
"Favor, Neither, Neither, Non-Hateful, N/A, N/A, N/A"
"Against, Favor, Neither, Non-Hateful, N/A, N/A, N/A"
"Against, Favor, Neither, Hateful, N/A, N/A, N/A"
"Neither, Against, Neither, Non-Hateful, N/A, N/A, N/A"
"Against, Favor, Neither, Hateful, N/A, N/A, N/A"
"Against, Neither, Neither, Non-Hateful, N/A, N/A, N/A"
"Against, Neither, Neither, Hateful, N/A, 2, Explicit"
"Against, Favor, Neither, Non-Hateful, N/A, N/A, N/A"
"Neither, Favor, Neither, Non-Hateful, N/A, N/A, N/A"
"Against, Against, Neither, Hateful, General, 2, Implicit"
"Favor, Neither, Neither, Non-Hateful, N/A, N/A, N/A"
"Neither, Favor, Neither, Non-Hateful, N/A, N/A, N/A"
"Neither, Against, Favor, Non-Hateful, N/A, N/A, N/A"
"Against, Favor, Neither, Hateful, N/A, N/A, N/A"
"Against, Neither, Neither, Hateful, General, 2, Implicit"
"Neither, Against, Neither, Non-Hateful, N/A, N/A, N/A"
"Neither, Against, Neither, Non-Hateful, N/A, N/A, N/A"
"Favor, Against, Neither, Non-Hateful, N/A, N/A, N/A"
"Against, Favor, Neither, Non-Hateful, N/A, N/A, N/A"
"Neither, Neither, Neither, Hateful, N/A, N/A, N/A"
"Favor, Against, Neither, Non-Hateful, N/A, N/A, N/A"
"Against, Neither, Neither, Hateful, General, 2, Explicit"
"Against, Favor, Neither, Hateful, General, 2, Implicit"
"Neither, Favor, Neither, Non-Hateful, N/A, N/A, N/A"
"Neither, Neither, Neither, Non-Hateful, N/A, N/A, N/A"
"Against, Favor, Neither, Non-Hateful, N/A, N/A, N/A"
"Against, Against, Neither, Hateful, General, 2, Implicit"
"Against, Favor, Neither, Non-Hateful, N/A, N/A, N/A"
"Favor, Against, Neither, Non-Hateful, N/A, N/A, N/A"
"Against, Against, Neither, Hateful, General, 2, Explicit"
"Against, Neither, Neither, Hateful, General, 2, Implicit"
"Neither, Against, Neither, Hateful, General, 2, Explicit"
"Against, Neither, Neither, Hateful, General, 1, Implicit"
"Favor, Neither, Neither, Non-Hateful, N/A, N/A, N/A"
"Against, Neither, Neither, Hateful, Sexist, 2, Explicit"
"Against, Favor, Neither, Hateful, General, 2, Implicit"
